ano,divida_brl,pib_brl,divida_pib_pct,juros_pago_brl,juros_receita_pct,per_capita_divida,juros_acumulado_brl,ponto_nao_retorno
2024,6000000000000.00,10000000000000.00,60.00,720000000000.00,40.00,27906.98,720000000000.00,NAO
2025,6920000000000.00,10250000000000.00,67.51,720000000000.00,40.00,32186.05,1440000000000.00,NAO
2026,7955400000000.00,10506250000000.00,75.72,830400000000.00,45.01,37001.86,2270400000000.00,NAO
2027,9120173000000.00,10768906250000.00,84.69,954648000000.00,50.48,42419.41,3225048000000.00,SIM
2028,10429971885000.00,11038128906250.00,94.49,1094420760000.00,56.46,48511.50,4319468760000.00,NAO
2029,11902331089325.00,11314082128906.25,105.20,1251596626200.00,62.99,55359.68,5571065386200.00,NAO
2030,13556892462622.12,11596934182128.90,116.90,1428279730719.00,70.13,63055.31,6999345116919.00,NAO
2031,15415658241779.36,11886857536682.12,129.69,1626827095514.66,77.93,71700.74,8626172212433.66,NAO
2032,17503274381526.52,12184028975099.18,143.66,1849878989013.52,86.46,81410.58,10476051201447.18,NAO
2033,19847347886811.69,12488629699476.65,158.92,2100392925783.18,95.77,92313.25,12576444127230.36,NAO
2034,22478802227218.62,12800845441963.57,175.60,2381681746417.40,105.95,104552.57,14958125873647.76,NAO
2035,25432275403324.13,13120866578012.66,193.83,2697456267266.23,117.07,118289.65,17655582140914.00,NAO
2036,28746565783283.28,13448888242462.97,213.75,3051873048398.90,129.22,133704.96,20707455189312.89,NAO
2037,32465131442126.53,13785110448524.54,235.51,3449587893993.99,142.50,151000.61,24157043083306.88,NAO
2038,36636649424152.20,14129738209737.66,259.29,3895815773055.18,157.01,170403.02,28052858856362.07,NAO
2039,41315642119245.22,14482981664981.10,285.27,4396397930898.26,172.86,192165.78,32449256787260.33,NAO
2040,46563178806854.27,14845056206605.62,313.66,4957877054309.43,190.18,216572.92,37407133841569.76,NAO
2041,52447661387808.89,15216182611770.76,344.68,5587581456822.51,209.11,243942.61,42994715298392.27,NAO
2042,59045704406581.37,15596587177065.03,378.58,6293719366537.07,229.79,274631.18,49288434664929.33,NAO
2043,66443120678912.43,15986501856491.65,415.62,7085484528789.76,252.39,309037.77,56373919193719.09,NAO
2044,74736025197511.75,16386164402903.94,456.09,7973174481469.49,277.08,347609.42,64347093675188.59,NAO
2045,84032071509271.23,16795818512976.54,500.32,8968323023701.41,304.06,390846.84,73315416698890.00,NAO
2046,94451836460643.31,17215713975800.95,548.64,10083848581112.55,333.54,439310.87,83399265280002.55,NAO
2047,106130371115436.53,17646106825195.98,601.44,11334220375277.20,365.76,493629.63,94733485655279.75,NAO
2048,119218937785792.83,18087259495825.88,659.13,12735644533852.38,400.96,554506.69,107469130189132.12,NAO
2049,133886955510004.48,18539440983221.52,722.17,14306272534295.14,439.42,622730.03,121775402723427.27,NAO
2050,150324178990869.47,19002927007802.05,791.06,16066434661200.54,481.45,699182.23,137841837384627.80,NAO
2051,168743139009929.84,19478000182997.11,866.33,18038901478904.34,527.37,784851.81,155880738863532.12,NAO
2052,189381875694781.38,19964950187572.03,948.57,20249176681191.58,577.55,880845.93,176129915544723.72,NAO
2053,212506999781906.56,20464073942261.33,1038.44,22725825083373.77,632.38,988404.65,198855740628097.50,NAO
2054,238417121234580.56,20975675790817.86,1136.64,25500839973828.79,692.29,1108916.84,224356580601926.28,NAO
2055,267446689298546.56,21500067685588.31,1243.93,28610054548149.67,757.76,1243938.09,252966635150075.94,NAO
2056,299970293368083.88,22037569377728.02,1361.18,32093602715825.59,829.29,1395210.67,285060237865901.50,NAO
2057,336407479959808.50,22588508612171.21,1489.29,35996435204170.06,907.45,1564685.95,321056673070071.56,NAO
2058,377228147727228.94,23153221327475.49,1629.27,40368897595177.02,992.86,1754549.52,361425570665248.56,NAO
2059,422958589881045.88,23732051860662.38,1782.23,45267377727267.47,1086.18,1967249.26,406692948392516.00,NAO
2060,474188261703984.62,24325353157178.94,1949.36,50755030785725.50,1188.15,2205526.80,457447979178241.50,NAO
2061,531577360171606.31,24933486986108.41,2131.98,56902591404478.16,1299.57,2472452.84,514350570582719.62,NAO
2062,595865313131921.25,25556824160761.12,2331.53,63789283220592.76,1421.32,2771466.57,578139853803312.38,NAO
2063,667880287190967.00,26195744764780.14,2549.58,71503837575830.55,1554.35,3106419.94,649643691379142.88,NAO
2064,748549836549178.62,26850638383899.64,2787.83,80145634462916.03,1699.72,3481627.15,729789325842058.88,NAO
2065,838912829702758.00,27521904343497.13,3048.16,89825980385901.44,1858.55,3901920.14,819615306227960.25,NAO
2066,940132807353959.00,28209951952084.56,3332.63,100669539564330.95,2032.11,4372710.73,920284845792291.25,NAO
2067,1053512943275475.88,28915200750886.67,3643.46,112815936882475.08,2221.75,4900060.20,1033100782674766.38,NAO
2068,1180512800483550.75,29638080769658.84,3983.09,126421553193057.09,2428.97,5490757.21,1159522335867823.50,NAO
2069,1322767098156970.00,30379032788900.30,4354.21,141661536058026.09,2655.40,6152405.11,1301183871925849.50,NAO
2070,1482106730591584.50,31138508608622.81,4759.72,158732051778836.41,2902.81,6893519.68,1459915923704686.00,NAO
2071,1660582308434747.00,31916971323838.38,5202.82,177852807670990.12,3173.15,7723638.64,1637768731375676.00,NAO
2072,1860490524873393.25,32714895606934.33,5686.98,199269877012169.62,3468.55,8653444.30,1837038608387845.50,NAO
2073,2084403685770339.25,33532767997107.69,6216.02,223258862984807.19,3791.32,9694900.86,2060297471372652.75,NAO
2074,2335202783422722.00,34371087197035.38,6794.09,250128442292440.69,4144.01,10861408.29,2310425913665093.50,NAO
